,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,Tliq
17810,0.6193,0.0,0.0766,0.0615,0.2024,0.0,0.0,0.026,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,1498.15
17811,0.595,0.0,0.1189,0.2105,0.0756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1577.15
17812,0.6509999999999999,0.098,0.13,0.042,0.015,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.15
17813,0.7045,0.0478,0.1253,0.0165,0.083,0.0087,0.0,0.0,0.0,0.0,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477.15
17814,0.141,0.536,0.0,0.0,0.0,0.3229999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240.15
17815,0.7223,0.0,0.0,0.0,0.1629,0.0,0.0,0.1148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.15
17816,0.4014,0.0,0.0563,0.1809,0.3614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.15
17817,0.5547,0.1612,0.0405,0.0,0.0,0.2093,0.0276,0.0,0.0,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.15
17818,0.7754000000000001,0.0,0.0602,0.0,0.0,0.0,0.0,0.0,0.1644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1243.15
17819,0.631036896310369,0.0,0.0031996800319968,0.0,0.0985901409859014,0.0,0.0,0.1510848915108489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0553944605539446,0.0,0.0606939306069393,0.0,0.0,1408.15
17820,0.6887000000000001,0.0,0.1698,0.0283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1132,0.0,0.0,0.0,0.0,0.0,1473.15
17821,0.6181690915454229,0.0137993100344982,0.1159942002899855,0.1498925053747312,0.0870956452177391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141992900354982,0.0,0.0,0.0,0.0,0.0,0.0,1538.15
17822,0.42,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1678.15
