,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,Tmelt
291,0.5116051160511605,0.1217012170121701,0.01190011900119,0.0,0.0,0.05180051800518,0.1508015080150801,0.01950019500195,0.0,0.01070010700107,0.05190051900519,0.0,0.0,0.0,0.0,0.04210042100421,0.0,0.02730027300273,0.0,1263.15
292,0.6503650365036503,0.0601060106010601,0.1204120412041204,0.074007400740074,0.0,0.0,0.0,0.035003500350035,0.0,0.0401040104010401,0.0,0.0,0.0,0.0,0.0,0.01000100010001,0.0,0.01000100010001,0.0,1851.15
293,0.6639,0.0861,0.1031,0.0122,0.081,0.0415,0.0,0.0,0.0,0.0,0.0121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1833.15
294,0.0,0.7109573425594464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2882827030378178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986.5157836914062
295,0.6900000000000001,0.05,0.12,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2043.15
296,0.6689,0.0,0.1342,0.0974,0.0525,0.0,0.0,0.0,0.0,0.0,0.0436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1918.15
297,0.6194,0.0,0.1198,0.1206,0.11,0.0,0.0,0.0302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1810.15
298,0.785021497850215,0.0,0.005999400059994,0.0060993900609939,0.0327967203279671,0.0,0.0,0.1541845815418458,0.0097990200979902,0.0,0.0,0.0,0.0045995400459954,0.0,0.0,0.0,0.0,0.0,0.0,1794.1501220703126
299,0.66,0.15,0.1,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.15
300,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1503.6484130859376
301,0.6216999999999999,0.0,0.0508999999999999,0.1050999999999999,0.0060999999999999,0.0119999999999999,0.0,0.0363999999999999,0.0760999999999999,0.0,0.0711999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0204999999999999,0.0,1771.1506103515626
302,0.7360000000000001,0.0,0.0,0.073,0.0761,0.0,0.0,0.0766,0.0383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1781.2753662109376
303,0.6899,0.0013,0.0461,0.0677,0.0,0.0,0.0,0.1604,0.0346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.15
304,0.7212999999999999,0.0,0.0586,0.0,0.0272,0.0,0.0,0.0857,0.1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1873.15
305,0.7129000000000001,0.0133,0.0,0.0,0.0843,0.0,0.0,0.0944,0.0407,0.0468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,1689.15
306,0.6195,0.0,0.1397,0.1003,0.0,0.0,0.0,0.1405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.15048828125
307,0.7126,0.0,0.0076,0.0415,0.0938,0.0,0.0,0.1445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1710.15
308,0.4932506749325068,0.157984201579842,0.038996100389961,0.0,0.0416958304169583,0.0910908909109089,0.0,0.0,0.0,0.0296970302969703,0.0993900609939006,0.0,0.0,0.0,0.0,0.0351964803519648,0.0,0.0126987301269873,0.0,1449.3852294921876
309,0.6475,0.0,0.0,0.0,0.0,0.0,0.0,0.1775,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.8034423828126
310,0.4534,0.3185,0.0311,0.0,0.0,0.0,0.0,0.1687,0.0283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.369543457031
311,0.6921,0.1153,0.0388,0.0,0.0,0.0,0.1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1713.15
312,0.6845684568456846,0.0,0.0428042804280428,0.0,0.0,0.0081008100810081,0.0834083408340834,0.1508150815081508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303030303030302,0.0,1683.15048828125
313,0.488951104889511,0.1833816618338166,0.011998800119988,0.0,0.010998900109989,0.007999200079992,0.0851914808519148,0.0821917808219178,0.0270972902709729,0.0700929907009299,0.0,0.0,0.0,0.0,0.0,0.0320967903209679,0.0,0.0,0.0,1241.149755859375
314,0.5135513551355134,0.0554055405540553,0.0378037803780377,0.0574057405740573,0.0399039903990399,0.1167116711671166,0.0,0.0,0.0,0.0853085308530852,0.0365036503650364,0.0,0.0,0.0,0.0,0.0386038603860385,0.0,0.0188018801880187,0.0,1520.3473876953126
315,0.63,0.0,0.05,0.106,0.02,0.0,0.0,0.093,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,1793.15
316,0.667,0.0,0.0,0.0,0.0,0.0,0.1165,0.0,0.2165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1494.69541015625
317,0.731314626292526,0.0,0.00610012200244,0.0311006220124402,0.0424008480169603,0.0122002440048801,0.0335006700134002,0.0778015560311206,0.0299005980119602,0.0,0.0338006760135202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1703.15
318,0.7671767176717673,0.0,0.0,0.0,0.0493049304930493,0.0,0.0,0.1636163616361636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0199019901990199,0.0,1770.149755859375
319,0.6232,0.0,0.0626,0.1123,0.0077,0.0,0.0,0.1641,0.0158,0.0,0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1759.15
320,0.5177482251774823,0.0834916508349165,0.040995900409959,0.0,0.0437956204379562,0.1382861713828617,0.0,0.0,0.0,0.0311968803119688,0.0884911508849115,0.0,0.0,0.0,0.0,0.0368963103689631,0.0,0.0132986701329867,0.0057994200579942,1540.2560791015626
321,0.6342,0.0213,0.0881,0.0222,0.1951,0.0391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760.15
322,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1235.1189331054688
